  Number  Name                   Base kV    Type    Load MW    Load Mvar     Gen. MW    Set. kV    Mvar fixed    Mvar var.
    1218  MAG-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1219  MAG-230               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1220  MTI-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1221  MAG-231               230.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1223  SAA-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1235  EJO-13                 13.8000       4     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1240  EJO-69                 69.0000       1     2.7690       0.2390      0.0000   nan             0.0000       0.0000
    1241  PNT-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1249  LVA-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1250  ARI-13                 13.8000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1251  GSL-B                  69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1301  CHM-69                 69.0000       1    41.8980       0.0000      0.0000   nan             0.0000       0.0000
    1302  COA-69                 69.0000       1    21.4210       0.0000      0.0000   nan             0.0000       5.4000
    1303  COC-69                 69.0000       1    30.4030       4.8580      0.0000   nan             0.0000       5.4000
    1304  ESP-69                 69.0000       1    62.1820       4.4700      0.0000   nan             0.0000      21.6000
    1305  HUE-69                 69.0000       1    59.9570      15.0000      0.0000   nan             0.0000      22.5000
    1306  LBR-691                69.0000       1    30.3850       0.0000      0.0000   nan             0.0000       0.0000
    1308  MAL-69                 69.0000       1    15.9910       0.0000      0.0000   nan             0.0000       0.0000
    1309  MAZ-69                 69.0000       1    37.5920       0.0000      0.0000   nan             0.0000       0.0000
    1310  MEL-69                 69.0000       1    16.4890       0.0000      0.0000   nan             0.0000       5.4000
    1312  POR-69                 69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
    1314  SMA-69                 69.0000       1     1.3510       0.1510      0.0000   nan             0.0000       0.0000
    1315  SOL-69                 69.0000       1    41.7600       0.0000      0.0000   nan             0.0000      10.8000
    1318  ALK-69                 69.0000       1    16.6200       1.9230      0.0000   nan             0.0000       0.0000
    1320  IRT-69                 69.0000       1     1.4300       0.2050      0.0000   nan             0.0000       0.0000
    1321  ZUN-69D                69.0000       1     0.0000       0.0000      0.0000   nan             0.0000       0.0000
