  From number    To number  From name         To name              Last bus number  Last bus name       ID    Service                 R (pu)    X (pu)    Tap ratio (pu)
        53154        53150  SMI138A_138.00    SMI230A_230.00                 53180  SMIAT1T_13.800      1     All in-service          0.0000    0.0602                 1
        53154        53150  SMI138A_138.00    SMI230A_230.00                 53181  SMIAT2T_13.800      2     All in-service          0.0000    0.0717                 1
        53156        53152  SMI138B_138.00    SMI230B_230.00                 53182  SMIAT3T_13.800      3     All in-service          0.0000    0.0586                 1
        53204        53208  GAR138A_138.00    GAR34.5A_34.500                53230  GART1T_13.800       1     All in-service          0.0000    0.3912                 1
        53206        53200  GAR138B_138.00    GAR230A_230.00                 53232  GARAT1T_13.800      1     All in-service          0.0000    0.1644                 1
        53206        53200  GAR138B_138.00    GAR230A_230.00                 53234  GARAT2T_13.800      2     All in-service          0.0000    0.1638                 1
        53206        53210  GAR138B_138.00    GAR34.5B_34.500                53231  GART2T_13.800       2     All in-service          0.0000    0.3876                 1
        53254        53258  NAR138A_138.00    NAR34.5A_34.500                53280  NART1T_13.800       1     All in-service          0.0000    0.3300                 1
        53256        53260  NAR138B_138.00    NAR34.5B_34.500                53281  NART2T_13.800       2     All in-service          0.0000    0.3663                 1
        53304        53308  COC138_138.00     COC34.5A_34.500                53330  COCT1T_13.800       1     All in-service          0.0000    0.3447                 1
        53304        53310  COC138_138.00     COC34.5B_34.500                53331  COCT2T_13.800       2     All in-service          0.0000    0.3660                 1
        53304        53312  COC138_138.00     COC34.5C_34.500                53332  COCT3T_13.800       3     All in-service          0.0000    0.3660                 1
        53354        53358  ESC138A_138.00    ESC34.5A_34.500                53380  ESCT1T_13.800       1     All in-service          0.0000    0.3667                 1
        53356        53360  ESC138B_138.00    ESC34.5B_34.500                53381  ESCT2T_13.800       2     All in-service          0.0000    0.3580                 1
        53404        53408  DES138_138.00     DES34.5A_34.500                53430  DEST1T_13.800       1     All in-service          0.0000    0.4067                 1
        53404        53410  DES138_138.00     DES34.5B_34.500                53431  DEST2T_13.800       2     All in-service          0.0000    0.3357                 1
        53454        53458  ALA138_138.00     ALA34.5A_34.500                53480  ALAT1T_13.800       1     All in-service          0.0000    0.2169                 1
        53454        53460  ALA138_138.00     ALA34.5B_34.500                53481  ALAT2T_13.800       2     All in-service          0.0000    0.2152                 1
        53504        53508  ANN138_138.00     ANN13.8_13.800                 53530  ANNT1T_13.800       1     All in-service          0.0000    0.4145                 1
        53504        53510  ANN138_138.00     ANN34.5_34.500                 53531  ANNT2T_13.800       1     All in-service          0.0000    0.3626                 1
        53550        53558  EST230_230.00     EST34.5A_34.500                53580  ESTT1T_13.800       1     All in-service          0.0000    0.3696                 1
        53550        53560  EST230_230.00     EST34.5B_34.500                53581  ESTT2T_13.800       2     All in-service          0.0000    0.3740                 1
        53604        53608  HER138_138.00     HER34.5A_34.500                53630  HERT1T_13.800       1     All in-service          0.0000    0.3973                 1
        53604        53609  HER138_138.00     HER34.5B_34.500                53631  HERT2T_13.800       2     All in-service          0.0000    0.3093                 1
        53604        53610  HER138_138.00     HER34.5C_34.500                53632  HERT3T_13.800       3     All in-service          0.0000    0.3593                 1
        53604        53611  HER138_138.00     HER34.5D_34.500                53633  HERT4T_13.800       4     All in-service          0.0000    0.3790                 1
        53654        53658  COL138_138.00     COL34.5A_34.500                53680  COLT1T_13.800       1     All in-service          0.0000    0.3338                 1
        53654        53658  COL138_138.00     COL34.5A_34.500                53681  COLT2T_13.800       2     All in-service          0.0000    0.3315                 1
        53654        53660  COL138_138.00     COL34.5B_34.500                53682  COLT3T_13.800       3     All in-service          0.0000    0.3535                 1
        53654        53660  COL138_138.00     COL34.5B_34.500                53683  COLT4T_13.800       4     All in-service          0.0000    0.3433                 1
        53704        53708  SAB138_138.00     SAB34.5A_34.500                53732  SABT3T_13.800       3     All in-service          0.0000    0.5080                 1
        53704        53710  SAB138_138.00     SAB34.5B_34.500                53733  SABT4T_13.800       4     All in-service          0.0000    0.3885                 1
        53704        53730  SAB138_138.00     SABT1S_34.500                  53712  SAB13.8A_13.800     1     All in-service          0.0000    0.4145                 1
        53704        53731  SAB138_138.00     SABT2S_34.500                  53714  SAB13.8B_13.800     2     All in-service          0.0000    0.3965                 1
        53754        53758  COV138_138.00     COV34.5A_34.500                53780  COVT1T_13.800       1     All in-service          0.0000    0.3610                 1
        53754        53758  COV138_138.00     COV34.5A_34.500                53781  COVT2T_13.800       2     All in-service          0.0000    0.3600                 1
        53754        53764  COV138_138.00     COV34.5B_34.500                53782  COVT3T_13.800       3     All in-service          0.0000    0.3073                 1
        53854        53850  RMA138A_138.00    RMA230_230.00                  53880  RMAAT1T_13.800      1     All in-service          0.0000    0.1515                 1
        53854        53850  RMA138A_138.00    RMA230_230.00                  53881  RMAAT2T_13.800      2     All in-service          0.0000    0.1328                 1
        53854        53858  RMA138A_138.00    RMA34.5A_34.500                53882  RMAT1T_13.800       1     All in-service          0.0000    0.4010                 1
        53902        53908  TAR230B_230.00    TAR34.5_34.500                 53930  TART1T_13.800       1     All in-service          0.0000    0.3833                 1
        54000        54008  PAR230A_230.00    PAR34.5_34.500                 54030  PART1T_13.800       1     All in-service          0.0000    0.3667                 1
        54000        54008  PAR230A_230.00    PAR34.5_34.500                 54031  PART2T_13.800       2     All in-service          0.0000    0.3667                 1
        54050        54058  TER230A_230.00    TER34.5A_34.500                54080  TERT1T_13.800       1     All in-service          0.0000    0.3767                 1
        54050        54060  TER230A_230.00    TER34.5B_34.500                54081  TERT2T_13.800       2     All in-service          0.0000    0.3767                 1
        54104        54108  POA138_138.00     POA34.5A_34.500                54130  POAT1T_13.800       1     All in-service          0.0000    0.3330                 1
        54104        54110  POA138_138.00     POA34.5B_34.500                54132  POAT2T_13.800       2     All in-service          0.0000    0.3500                 1
        54200        54208  CON230A_230.00    CON34.5A_34.500                54230  CONT1T_13.800       1     All in-service          0.0000    0.3740                 1
        54202        54210  CON230B_230.00    CON34.5B_34.500                54231  CONT2T_13.800       2     All in-service          0.0000    0.3626                 1
        54750        54758  COY230A_230.00    COY34.5D_34.500                54780  COYT1T_13.800       1     All in-service          0.0000    0.3707                 1
        54750        54760  COY230A_230.00    COY34.5C_34.500                54781  COYT2T_13.800       2     All in-service          0.0000    0.3723                 1
        54850        54858  HIG230_230.00     HIG34.5C_34.500                54880  HIGT1T_13.800       1     All in-service          0.0000    0.3700                 1
        54850        54860  HIG230_230.00     HIG34.5D_34.500                54881  HIGT2T_13.800       1     All out-of-service      0.0000    0.3700                 1
        56000        56008  SIS230_230.00     SIS34.5A_34.500                56031  SIST2T_13.800       2     All in-service          0.0000    0.3840                 1
        56000        56010  SIS230_230.00     SIS34.5B_34.500                56030  SIST1T_13.800       1     All in-service          0.0000    0.3320                 1
        56050        56058  RCL230A_230.00    RCL34.5A_34.500                56080  RCLT2T_13.800       2     All in-service          0.0000    0.4007                 1
        56052        56060  RCL230B_230.00    RCL34.5B_34.500                56081  RCLT3T_13.800       1     All in-service          0.0000    0.3700                 1
        56058        56050  RCL34.5A_34.500   RCL230A_230.00                 56082  RCLT1T_13.800       1     All out-of-service      0.0000    0.3845                 1
        56100        56108  PAL230A_230.00    PAL34.5A_34.500                56130  PALT1T_13.800       1     All in-service          0.0000    0.3643                 1
        58004        58008  CAC138A_138.00    CAC34.5_34.500                 58030  CACT4T_13.800       3     All in-service          0.0000    0.5013                 1
        58054        58058  TUR138_138.00     TUR34.5A_34.500                58082  TURT1T_13.800       1     All in-service          0.0000    0.3943                 1
        58054        58060  TUR138_138.00     TUR34.5B_34.500                58081  TURT2T_13.800       2     All in-service          0.0000    0.3937                 1
        58104        58108  ANG138A_138.00    ANG34.5_34.500                 58130  ANGT1T_13.800       1     All in-service          0.0000    0.3963                 1
        58150        58158  TRA230_230.00     TRA34.5A_34.500                58180  TRAT1T_13.800       1     All in-service          0.0000    0.3700                 1
        58150        58160  TRA230_230.00     TRA34.5B_34.500                58182  TRAT2T_13.800       1     All in-service          0.0000    0.3787                 1
        58200        58208  LEE230_230.00     LEE34.5A_34.500                58234  LEET4T_13.800       4     All in-service          0.0000    0.3667                 1
        58200        58210  LEE230_230.00     LEE34.5B_34.500                58233  LEET3T_13.800       3     All in-service          0.0000    0.3600                 1
        58200        58214  LEE230_230.00     LEE34.5C_34.500                58232  LEET2T_13.800       1     All in-service          0.0000    0.3955                 1
        58300        58305  MOI230A_230.00    MOI138B_138.00                 58331  MOIAT1T_13.800      1     All in-service          0.0000    0.0945                 1
        58300        58308  MOI230A_230.00    MOI34.5A_34.500                58337  MOIT5T_13.800       5     All in-service          0.0000    0.3630                 1
        58304        58308  MOI138A_138.00    MOI34.5A_34.500                58334  MOIT2T_13.800       2     All out-of-service      0.0000    0.3867                 1
        58304        58310  MOI138A_138.00    MOI34.5B_34.500                58335  MOIT3T_13.800       3     All in-service          0.0000    0.3840                 1
        58304        58312  MOI138A_138.00    MOINRECO_34.500                58336  MOIT4T_13.800       4     All in-service          0.0000    1.6396                 1
        58306        58302  MOI138C_138.00    MOI230B_230.00                 58330  MOIAT2T_13.800      2     All in-service          0.0000    0.1535                 1
        58350        58358  CAH230_230.00     CAH34.5_34.500                 58380  CAHT1T_13.800       1     All in-service          0.0000    0.4023                 1
        58500        58508  REV230A_230.00    REV34.5A_34.500                58511  REVT1T_13.800       1     All in-service          0.0000    0.5844                 1
        58600        58608  RBL230_230.00     RBL34.5A_34.500                58630  RBL20A_20.000       1     All in-service          0.0000    0.1664                 1
        58600        58610  RBL230_230.00     RBL34.5B_34.500                58631  RBL20B_20.000       1     All in-service          0.0000    0.1658                 1
