  From number    To number  From name           To name             ID      In service    R (pu)    X (pu)    Tap ratio (pu)    Capacity (MVA)
         1218         1219  MAG-69_69.000       MAG-230_230.00      1                1    0.0000    0.1636            1.0000           93.3000
         1218         1637  MAG-69_69.000       MAG-B_13.800        1                1    0.0000    0.5833            1.0000           22.4000
         1218         1673  MAG-69_69.000       MAG-B2_13.800       1                1    0.0000    0.5833            1.0000           22.4000
         1218         1688  MAG-69_69.000       MAG-B3_13.800       1                1    0.0000    0.4500            1.0000           43.0000
         1220         1638  MTI-69_69.000       MTI-B_13.800        1                1    0.0000    0.3500            1.0000           35.0000
         1221         1699  MAG-231_230.00      MAG-B4_13.800       1                1    0.0000    0.1920            1.0000           62.5000
         1221         1970  MAG-231_230.00      MAG-B5_13.800       1                1    0.0000    0.1447            1.0000           79.0000
         1221         1977  MAG-231_230.00      MAG-B6_13.800       1                1    0.0000    0.0001            1.0000           70.0000
         1223         1640  SAA-69_69.000       SAA-B_13.800        1                1    0.0000    0.3500            1.0000           45.0000
         1235         1240  EJO-13_13.800       EJO-69_69.000       1                0    0.0000    1.3500            1.0000            7.0000
         1241         1639  PNT-69_69.000       PNT-B_13.800        1                1    0.0000    0.2800            1.0000           40.0000
         1241         1672  PNT-69_69.000       PNT-B2_13.800       1                1    0.0000    0.5833            1.0000           25.0000
         1249         1662  LVA-69_69.000       LVA-H1_13.800       1                1    0.0000    0.2595            1.0000           25.9000
         1249         1663  LVA-69_69.000       LVA-H2_13.800       1                1    0.0000    0.2595            1.0000           25.9000
         1250         1659  ARI-13_13.800       ARI-O1_13.800       1                1    0.0072    0.0910            1.0000           14.0000
         1251         1976  GSL-B_69.000        GSL-C_13.800        1                1    0.0000    0.2800            1.0000           62.3000
         1312         1616  POR-69_69.000       POR-H_2.3000        1                1    0.0000    2.3333            1.0000            3.0000
         1314         1614  SMA-69_69.000       SMA-H_2.3000        1                1    0.0000    0.7380            1.0000           14.0000
         1322         1644  ZUN-69_69.000       ZUN-G_13.200        1                1    0.0000    0.2727            1.0125           33.5000
         1337         1654  TUL-69_69.000       TUL-B12_12.000      1                1    0.0000    0.3500            1.0000           20.0000
         1337         1974  TUL-69_69.000       TUL-B4_13.800       1                1    0.0000    0.5933            1.0000           20.0000
         1338         1967  EPI-69_69.000       EPI-B1_0.4800       1                1    0.0000    3.8500            1.0000            2.0000
         1338         1968  EPI-69_69.000       EPI-B2_4.1600       1                0    0.0000    1.4300            1.0000            6.3000
         1339         1666  CAN-69_69.000       CAN-H1_13.800       1                1    0.0000    0.1400            1.0250           26.6000
         1339         1670  CAN-69_69.000       CAN-H2_13.800       1                1    0.0000    0.1400            1.0250           26.6000
